Advertiser Name,Partnership Count
"PODS Enterprises",3
"Palo Alto Networks",3
"Parsons Xtreme Golf",3
"Patagonia",3
"Pearson Education",3
"Peet's Coffee & Tea",3
"Peloton Interactive",3
"Pentland Brands",3
"Pep Boys",3
"PetSmart",3
"PricewaterhouseCoopers",3
"Principal",3
"Progressive Insurance",3
"Providence Health & Services",3
"Prudential",3
"Publix",3
"Pulte Group",3
"Qdoba",3
"Quince",3
"Raising Cane's",3
"Rakuten",3
"Remy Cointreau",3
"Republic Services",3
"Ripple",3
"Rivian",3
"Rolex",3
"Safelite Auto Glass",3
"San Diego Tourism",3
"Seattle Tourism",3
"Shinola",3
"Shutterfly",3
"Sierra Nevada Brewing Co.",3
"Simply Good Foods",3
"SiriusXM",3
"Skims",3
"Slate Auto",3
"Sleep Number Corporation",3
"SoFi",3
"Sol de Janeiro",3
"Solo Stove",3
"South Dakota Tourism",3
"Spectrum Brands",3
"Spirit Airlines",3
"Spotify",3
"SpringWorks Therapeutics",3
"St. Pete/Clearwater Tourism",3
"Stanley Steemer",3
"Starkist",3
"Sun Pharma",3
"Sun Tan City",3
"Sun-Maid",3
"Sunovion Pharmaceuticals",3
"Superhuman",3
"Synchrony Financial",3
"TGL Golf",3
"TXU Energy",3
"Tableau Software",3
"The College of New Jersey",3
"The J.M. Smucker Co.",3
"The New York Times",3
"Tim Hortons",3
"Tito's Vodka",3
"Tory Burch",3
"Traeger Grills",3
"ULTA",3
"US Dept of Homeland Security",3
"UT Southwestern Medical Center",3
"United Airlines",3
"United Rentals",3
"Veeam",3
"Victoria's Secret & Co",3
"Viking River Cruises",3
"Vrbo",3
"Vuori Clothing",3
"WNBA",3
"Wawa",3
"Wells Enterprises",3
"Wind Creek Hospitality",3
"Winnebago Industries",3
"Yamaha",3
"Zespri North America",3
"ZocDoc",3
"Zoetis",3
"argenx",3
"bet365",3
